site,Dw,Cmax,C0
MPR,5.1,9.7,2.6
Q1,8.7,6.4,0
Q2,6.7,6.4,3.5
Q3,10.5,5.3,0
RI,9.3,4.6,0.7
QG,42.1,3,0.3
RES4,4.1,7.6,3.3
QP,4.4,5.2,2.2
QS,10.9,2.8,1.2
RS,2.9,8.1,2.6
