site,Dw,Cmax,C0
MPR,4.2,27.2,4.8
Q1,6.6,40.6,0
Q2,3,31.5,20.9
Q3,9.7,32,0
RI,4.4,28.9,0
QG,21.6,19.6,7.4
RES4,1.9,24.6,2.2
QP,4.9,22.2,7.4
QS,7.9,12.5,1.5
RS,5.1,33.9,10.7
