site,Dw,Cmax,C0
MPR,4.2,2.6,0.6
Q1,8.3,3.6,0
Q2,5.2,3.2,1.7
Q3,10.2,3.6,0
RI,6.7,1.6,0.4
QG,42.6,1.2,0.3
RES4,1.2,5.6,1.8
QP,5.7,3.8,1.5
QS,4.4,1.7,0.8
RS,2,4.9,1.3
