month,P,ET
1,180.172413793103,87.0689655172413
2,155.172413793104,90.5172413793104
3,144.827586206897,94.8275862068965
4,183.620689655172,98.2758620689655
5,318.103448275862,94.8275862068965
6,217.241379310345,90.5172413793104
7,246.551724137931,87.0689655172413
8,282.758620689655,80.1724137931035
9,263.793103448276,77.5862068965517
10,288.793103448276,79.3103448275862
11,307.758620689655,79.3103448275862
12,257.758620689655,86.2068965517241
