,amp,phaseshift,rsquared,sterror,site,percentile,ampratio,ampratio_error,Qmed
MPR_0-25%,0.4756810724159219,0.17564113397572695,0.4643243221975545,0.0924530084199139,MPR,0-25%,0.1361244354214069,0.028536235324174,0.9333616593965128
MPR_25-50%,0.3641345674442437,0.03131240074712109,0.3152528903025049,0.1324701516261585,MPR,25-50%,0.10420345749520465,0.03878232467071175,1.4479718716043195
MPR_50-75%,0.6849320855609294,0.1429961910890493,0.7717490119696773,0.07115086786949747,MPR,50-75%,0.19600526246599403,0.025527203799866695,2.3510623420474315
MPR_75-100%,0.93327248407262,0.141775248938006,0.5925198713325399,0.2516619148604686,MPR,75-100%,0.26707219890733463,0.07501100985039394,4.848435430702965
MPR_90-100%,1.151952334622682,0.12546977178097887,0.9034071736615257,0.30632314989955167,MPR,90-100%,0.32965125222761654,0.09140455026706057,8.526384888541116
RI_0-25%,0.13767669606937485,0.194984250583849,0.10322370057137253,0.07765258856765231,RI,0-25%,0.039398587856238156,0.022436127525778837,1.880712277324521
RI_25-50%,0.2849459864808116,0.19231652845523908,0.4203162919186494,0.06425792955494565,RI,25-50%,0.08154226389184792,0.01947222658544261,2.1837910903609905
RI_50-75%,0.26119539260387226,0.16989269582081143,0.11141565966174938,0.08275518122586621,RI,50-75%,0.07474561721006735,0.024398861661936035,2.7872426556032472
RI_75-100%,0.8555432614284779,0.15833683051650055,0.7124494854386092,0.10187609903634179,RI,75-100%,0.24482862614031253,0.034925783535495594,4.546182195547043
RI_90-100%,1.512641829692564,0.17492651514091015,0.8916104507660415,0.37639314282373115,RI,90-100%,0.43286884217597077,0.11295128012577116,8.118182492048293
QG_0-25%,0.19960157031783626,0.014871461021216463,0.18547018548063388,0.09585561574696409,QG,0-25%,0.057119470679683614,0.027795306039160847,1.415679886742197
QG_25-50%,0.27982936792494684,0.18134578921127809,0.2920332998243701,0.07929899013775536,QG,25-50%,0.08007805425103465,0.02354850493841617,1.6449473519268616
QG_50-75%,0.26546967895043283,-0.23821778177378347,0.1964412167718934,0.08690164591941485,QG,50-75%,0.07596877879772508,0.025574419340840124,2.1014352513570422
QG_75-100%,0.48451342281628823,0.17853220372669026,0.4226718667680399,0.142398321977212,QG,75-100%,0.13865196653713446,0.04218021462410164,3.4320053618037574
QG_90-100%,1.3172601686323568,0.1660012079325308,0.6961398621093835,0.550141938809876,QG,90-100%,0.37695697213153384,0.1601932891113495,6.134086201480163
QS_0-25%,0.3659363881119359,0.15882747658236007,0.28596710787860513,0.1465536207906498,QS,0-25%,0.1047190799055615,0.04273800810826671,0.4588749613035144
QS_25-50%,0.5148335002846143,0.08452182288844476,0.49682726225151963,0.1171946749569938,QS,25-50%,0.14732858552966063,0.03547801230772173,0.8266783993454506
QS_50-75%,1.0556334652144723,0.07444390109879738,0.701222984094775,0.12672524894751155,QS,50-75%,0.3020879278093673,0.043338688682024805,1.566756195189208
QS_75-100%,1.4854111713022693,0.0823791116670778,0.691470888856732,0.23572605395792562,QS,75-100%,0.4250763143364544,0.07526912618560892,4.839661845941372
QS_90-100%,2.647863521635069,0.09168642321912927,0.96249875310429,0.5309319981306914,QS,90-100%,0.7577323291946216,0.1631788108452347,11.301295331338922
QP_0-25%,0.2994006971897263,0.1294016886539405,0.45198570140889727,0.05922845299637968,QP,0-25%,0.08567873147176946,0.01823664422998513,0.3086517916123276
QP_25-50%,0.3869424006146623,0.06847637490850889,0.2180272924888358,0.08078611916220992,QP,25-50%,0.11073031675773634,0.02470057293897576,0.6323834943125058
QP_50-75%,0.604585185507554,0.07753997795417218,0.44914941883071435,0.15954416079880382,QP,50-75%,0.17301259565232946,0.04763623340721308,1.2053499116497302
QP_75-100%,1.3164854794713299,0.08932867599678765,0.6160640322016333,0.1784144200317527,QP,75-100%,0.37673528131643313,0.05901318597647132,3.577293839487486
QP_90-100%,1.6603091305528674,0.09546627082428003,0.8216128710049057,0.28260288883523527,QP,90-100%,0.47512641584338794,0.08906872884102962,9.927796829531996
