,Na_slope,Na_rsq,Ca_slope,Ca_rsq,Mg_slope,Mg_rsq,Cl_slope,Cl_rsq
RI,0.9736089166016533,0.9205172833124515,0.9174485252104251,0.8493602251429663,0.9424203829414246,0.9042336631506078,0.4718548808440668,0.61410358999773
QG,0.9561947783257854,0.9197901438379524,0.9674988814263409,0.8316242055585243,0.9323298031811628,0.8931341453296167,0.5677978809052282,0.7940954046730244
MPR,0.899676225394528,0.90665654289949,0.8576059479828375,0.6918643389521,0.8596514388039178,0.8686618840048128,0.46080937168080544,0.5528293558619196
Q3,0.8525845260939976,0.8681909450590656,0.7764645057904556,0.7379267182125837,0.822960488116519,0.8107205004994498,0.4185615543984188,0.47689696389730907
QS,0.8149744664314105,0.8232665535330718,0.8217049523211396,0.7007557512849263,0.9369891780520835,0.7890146823169569,0.4096017330366759,0.5430320947424606
QP,0.8268411093005712,0.8883010983402232,0.8436092182806502,0.7783151381641922,0.7580433066137988,0.8194729003573428,0.5027288322328837,0.46864090362239647
