,0-25,25-50,50-75,75-100,90-100,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-99,99-100,0-1,0-2,0-5,0-25_sp,25-50_sp,50-75_sp,75-100_sp,90-100_sp
RI,1.534336490997127,2.181085029530308,3.084909346978351,5.872152002581597,11.094849405799332,1.2177273738072438,1.5424546734891755,1.880712277324521,2.056606231318901,2.3515668618633216,2.7060608306827643,3.2472729968193166,4.059091246024146,5.276818619831389,10.391273589821814,57.3684896104746,0.7820515800673189,0.8659394658184846,1.031009176490133,1.880712277324521,2.1837910903609905,2.7872426556032472,4.546182195547043,8.118182492048293
QG,1.167769327702331,1.7452518679451525,2.4494305110123373,4.516931759552618,8.017354665497052,0.9121102757115939,1.2457763187928472,1.4381972270728334,1.6449473519268616,1.874214817111526,2.12190556074853,2.5517820579697763,3.10448041153995,3.984703715373931,7.556154473368027,44.41356476356258,0.5495385071540382,0.6182308205482929,0.772912171849476,1.415679886742197,1.6449473519268616,2.1014352513570422,3.4320053618037574,6.134086201480163
MPR,0.9081356686020123,1.3622035029030186,2.0937572359435284,4.540678343010062,8.879548759664122,0.7567797238350102,0.958587650191013,1.1351695857525155,1.3117515213140178,1.5640114292590213,1.8162713372040247,2.19970639728043,2.774858987395038,3.9705709510543548,8.324576962185112,46.01220720916862,0.4747531467524964,0.5549717974790076,0.6558757606570089,0.9333616593965127,1.4479718716043195,2.3510623420474315,4.848435430702965,8.526384888541116
QS,0.4808461937597834,0.9273462308224396,1.5455770513707325,5.014286579437084,12.708077977937135,0.30568079460443376,0.5495385071540383,0.7212692906396752,0.8930000741253121,1.064730857610949,1.3051539544908408,1.6486155214621148,2.2668463420104077,4.0126775547263875,11.677693277023312,46.02384997415071,0.15455770513707323,0.18627681849826794,0.2484934575234076,0.45887496130351446,0.8266783993454506,1.566756195189208,4.839661845941372,11.301295331338922
QP,0.4223087075752868,0.7463513319712249,1.1610920800224793,3.1140120278374885,8.75225257085594,0.31543270355595115,0.46826633330976625,0.5953081374204433,0.7127359216516108,0.8447948281693923,1.0044931390235776,1.2356806502630253,1.6463195947492726,2.59511852412068,7.878729670108607,116.1712466530462,0.20678331746848166,0.2230110327531035,0.26862918810080927,0.30865179161232764,0.6323834943125058,1.2053499116497302,3.577293839487486,9.927796829531996
Q3,0.4783928968528458,1.0524643730762608,1.722214428670245,3.795250315032576,6.251000518877185,0.22325001853132803,0.5421786164332252,0.7654286349645533,0.9886786534958812,1.2119286720272093,1.4989644101389168,1.817893008040814,2.519535923424988,3.4763217171306797,5.963964780765478,32.37125268704256,0.06378571958037944,0.09567857937056916,0.1275714391607589,,,,,
